A veces: Manchmal
Agua: Wasser
Ahora: Jetzt
Aire: Luft
Alto: Hoch
Amarillo: Gelb
Amigo: Freund
Amor: Liebe
Ayer: Gestern
Azul: Blau
Bajo: Niedrig
Banco: Bank
Bicicleta: Fahrrad
Blanco: Weiß
Bueno: Gut
Calor: Hitze
Camino: Straße
Casa: Haus
Cerca: Nah
Cielo: Himmel
Ciudad: Stadt
Claro: Hell
Coche: Auto
Comida: Essen
Corto: Kurz
Dificil: Schwierig
Dinero: Geld
Dia: Tag
Escuela: Schule
Estrella: Stern
Familia: Familie
Feliz: Glücklich
Frio: Kälte
Fuego: Feuer
Fuerte: Stark
Facil: Einfach
Gato: Katze
Grande: Groß
Hola:Hallo
Hospital: Krankenhaus
Hoy: Heute
Inteligente: Klug
Invierno: Winter
Joven: Jung
Lago: See
Largo: Lang
Lejos: Weit
Lento: Langsam
Libro: Buch
Lluvia: Regen
Luna: Mond
Malo: Schlecht
Mar: Meer
Marron: Braun
Mañana: Morgen
Montaña: Berg
Morado: Lila
Naranja: Orange
Negro: Schwarz
Nieve: Schnee
Noche: Nacht
Nube: Wolke
Nuevo: Neu
Nunca: Nie
Oscuro: Dunkel
Otoño: Herbst
Pequeño: Klein
Perro: Hund
Playa: Strand
Primavera: Frühling
Pronto: Bald
Pueblo: Dorf
Reloj: Uhr
Rojo: Rot
Rosado: Rosa
Rapido: Schnell
Rio: Fluss
Siempre: Immer
Sol: Sonne
Tarde: Nachmittag
Tierra: Erde
Trabajo: Arbeit
Triste: Traurig
Verano: Sommer
Verde: Grün
Viejo: Alt
Viento: Wind
Arbol: Baum
