A veces: Sometimes
Agua: Water
Ahora: Now
Aire: Air
Alto: Tall
Amarillo: Yellow
Amigo: Friend
Amor: Love
Ayer: Yesterday
Azul: Blue
Bajo: Short
Banco: Bank
Bicicleta: Bicycle
Bienvenido:Welcome
Blanco: White
Bueno: Good
Calor:Hot
Camino: Road
Casa: House
Cerca: Near
Cielo: Sky
Ciudad: City
Claro: Light
Coche: Car
Comida: Food
Corto: Short
Dia: Day
Dificil: Difficult
Dinero: Money
Escuela: School
Estrella: Star
Facil: Easy
Familia: Family
Feliz: Happy
Frio: Cold
Fuego: Fire
Fuerte: Strong
Gato: Cat
Grande: Big
Hola:Hello
Hospital: Hospital
Hoy: Today
Inteligente: Smart
Invierno: Winter
Joven: Young
Lago: Lake
Largo: Long
Lejos: Far
Lento: Slow
Libro: Book
Lluvia: Rain
Luna: Moon
Malo: Bad
Mar: Sea
Marron: Brown
Mañana: Tomorrow
Montaña: Mountain
Morado: Purple
Naranja: Orange
Negro: Black
Nieve: Snow
Noche: Night
Nube: Cloud
Nuevo: New
Nunca: Never
Oscuro: Dark
Otoño: Autumn
Pequeño: Small
Perro: Dog
Playa: Beach
Primavera: Spring
Pronto: Soon
Pueblo: Town
Rapido: Fast
Reloj: Watch
Rio: River
Rojo: Red
Rosado: Pink
Siempre: Always
Sol: Sun
Tarde: Afternoon
Tierra: Earth
Trabajo: Work
Triste: Sad
Verano: Summer
Verde: Green
Viejo: Old
Viento: Wind
