Casa: Maison
Arbol: Arbre
Perro: Chien
Gato: Chat
Sol: Soleil
Luna: Lune
Agua: Eau
Fuego: Feu
Tierra: Terre
Aire: Air
Comida: Nourriture
Amor: Amour
Amigo: Ami
Familia: Famille
Escuela: École
Libro: Livre
Reloj: Montre
Coche: Voiture
Bicicleta: Vélo
Trabajo: Travail
Dinero: Argent
Banco: Banque
Hospital: Hôpital
Ciudad: Ville
Pueblo: Village
Camino: Route
Montaña: Montagne
Rio: Rivière
Lago: Lac
Mar: Mer
Playa: Plage
Cielo: Ciel
Estrella: Étoile
Nube: Nuage
Viento: Vent
Lluvia: Pluie
Nieve: Neige
Calor: Chaleur
Frio: Froid
Verano: Été
Invierno: Hiver
Primavera: Printemps
Otoño: Automne
Dia: Jour
Noche: Nuit
Mañana: Matin
Tarde: Après-midi
Ahora: Maintenant
Ayer: Hier
Hoy: Aujourd'hui
Mañana: Demain
Siempre: Toujours
Nunca: Jamais
A veces: Parfois
Pronto: Bientôt
Lejos: Loin
Cerca: Près
Grande: Grand
Pequeño: Petit
Rapido: Rapide
Lento: Lent
Feliz: Heureux
Triste: Triste
Facil: Facile
Dificil: Difficile
Blanco: Blanc
Negro: Noir
Rojo: Rouge
Azul: Bleu
Verde: Vert
Amarillo: Jaune
Morado: Violet
Marron: Marron
Rosado: Rose
Naranja: Orange
Claro: Clair
Oscuro: Sombre
Corto: Court
Largo: Long
Alto: Grand
Bajo: Petit
Viejo: Vieux
Joven: Jeune
Nuevo: Nouveau
Bueno: Bon
Malo: Mauvais
Inteligente: Intelligent
Fuerte: Fort
