Casa: Casa
Arbol: Albero
Perro: Cane
Gato: Gatto
Sol: Sole
Luna: Luna
Agua: Acqua
Fuego: Fuoco
Tierra: Terra
Aire: Aria
Comida: Cibo
Amor: Amore
Amigo: Amico
Familia: Famiglia
Escuela: Scuola
Libro: Libro
Reloj: Orologio
Coche: Auto
Bicicleta: Bicicletta
Trabajo: Lavoro
Dinero: Soldi
Banco: Banca
Hospital: Ospedale
Ciudad: Città
Pueblo: Paese
Camino: Strada
Montaña: Montagna
Rio: Fiume
Lago: Lago
Mar: Mare
Playa: Spiaggia
Cielo: Cielo
Estrella: Stella
Nube: Nuvola
Viento: Vento
Lluvia: Pioggia
Nieve: Neve
Calor: Calore
Frio: Freddo
Verano: Estate
Invierno: Inverno
Primavera: Primavera
Otoño: Autunno
Dia: Giorno
Noche: Notte
Mañana: Mattina
Tarde: Pomeriggio
Ahora: Adesso
Ayer: Ieri
Hoy: Oggi
Mañana: Domani
Siempre: Sempre
Nunca: Mai
A veces: A volte
Pronto: Presto
Lejos: Lontano
Cerca: Vicino
Grande: Grande
Pequeño: Piccolo
Rápido: Veloce
Lento: Lento
Feliz: Felice
Triste: Triste
Facil: Facile
Dificil: Difficile
Blanco: Bianco
Negro: Nero
Rojo: Rosso
Azul: Blu
Verde: Verde
Amarillo: Giallo
Morado: Viola
Marron: Marrone
Rosado: Rosa
Naranja: Arancione
Claro: Chiaro
Oscuro: Scuro
Corto: Corto
Largo: Lungo
Alto: Alto
Bajo: Basso
Viejo: Vecchio
Joven: Giovane
Nuevo: Nuovo
Bueno: Buono
Malo: Cattivo
Inteligente: Intelligente
Fuerte: Forte
